127.0.0.1 - - [16/Oct/2019:18:52:38 +0900] "GET / HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET / HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /css/header/header.css HTTP/1.1" 200 2787
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/arrow.png HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/download.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /js/jquery.bxslider.min.js HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /js/jquery.bxslider.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/tomatoLogo.png HTTP/1.1" 200 136625
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/money.png HTTP/1.1" 200 13021
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/myMarket.png HTTP/1.1" 200 7961
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/talk.png HTTP/1.1" 200 9043
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/menu.png HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/slider/slider1.png HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/slider/slider2.png HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/slider/slider3.png HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:39 +0900] "GET /img/slider/slider4.png HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:40 +0900] "GET /js/jquery.bxslider.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:40 +0900] "GET /js/jquery.bxslider.min.js HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [16/Oct/2019:18:52:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
